freq	script	write_target	write_mode
15 8 * * *	calc_dH5j.py	out.to_csv	w
15 8 * * *	calc_dH5j.py	?	w
15 8 * * *	calc_dH5j.py	(dump)	w
0 * * * *	tireur_presence.py	(dump)	w
0 * * * *	tireur_presence.py	?	a
0 * * * *	tireur_presence.py	?	a
*/30 * * * *	tireur_tenue.py	(dump)	w
*/30 * * * *	tireur_tenue.py	?	a
*/30 * * * *	tireur_tenue.py	?	a
*/15 * * * *	tireur_vigie.py	(dump)	w
*/15 * * * *	tireur_vigie.py	?	a
*/15 * * * *	tireur_vigie.py	?	a
*/5 * * * *	tireur_agilite.py	(dump)	w
*/5 * * * *	tireur_agilite.py	?	a
*/5 * * * *	tireur_agilite.py	?	a
* * * * *	tireur_precision.py	(dump)	w
* * * * *	tireur_precision.py	?	a
* * * * *	tireur_precision.py	?	a
* * * * *	make_btc_1s.py	bars_1s.to_csv	w
* * * * *	tireur_etincelle.py	(dump)	w
* * * * *	tireur_etincelle.py	?	a
* * * * *	tireur_etincelle.py	?	a
* * * * *	money_manager.py	?	w
* * * * *	money_manager.py	(dump)	w
*/5 * * * *	tireur_aplomb.py	?	w
*/5 * * * *	tireur_aplomb.py	(dump)	w
*/5 * * * *	tireur_aplomb.py	?	a
*/5 * * * *	tireur_aplomb.py	?	w
*/5 * * * *	tireur_aplomb.py	(dump)	w
*/5 * * * *	tireur_aplomb.py	?	w
*/5 * * * *	tireur_aplomb.py	(dump)	w
50 8 * * *	journees_des_tireurs_v2.py	?	w
50 8 * * *	journees_des_tireurs_v2.py	(dump)	w
50 8 * * *	journees_des_tireurs_v2.py	?	w
50 8 * * *	journees_des_tireurs_v2.py	(dump)	w
50 8 * * *	journees_des_tireurs_v2.py	?	a
*/10 * * * *	watchdog_seragone.py	?	w
*/10 * * * *	watchdog_seragone.py	(dump)	w
@reboot	securite_seragone.py	?	w
@reboot	securite_seragone.py	(dump)	w
@reboot	securite_seragone.py	?	w
@reboot	securite_seragone.py	(dump)	w
@reboot	sentinelle_seragone.py	?	w
@reboot	sentinelle_seragone.py	(dump)	w
*/5 * * * *	sentinelle_exchange_runner.py	(dump)	w
*/5 * * * *	sentinelle_exchange_runner.py	?	a
7 7 * * *	divergences_alts.py	?	a
7 7 * * *	divergences_alts.py	?	w
7 7 * * *	divergences_alts.py	(dump)	w
7 7 * * *	divergences_alts.py	?	a
30 8 * * 0	production/allocation/meta_controller.py	?	w
30 8 * * 0	production/allocation/meta_controller.py	(dump)	w
0 12 * * 6	production/meta/memoire_evenementielle.py	?	w
0 12 * * 6	production/meta/memoire_evenementielle.py	(dump)	w
0 12 * * 6	production/meta/memoire_evenementielle.py	?	a
44 8 * * *	moteur_pepite_1_M08_sbforce.py	(dump)	w
45 8 * * *	moteur_pepite_2_OUVRIR_SOUFFLE.py	(dump)	w
46 8 * * *	moteur_pepite_3_souffle_M0.py	(dump)	w
47 8 * * *	moteur_pepite_4_L3_mom_haut.py	(dump)	w
48 8 * * *	moteur_pepite_5_L5_L7_SHORT.py	(dump)	w
49 8 * * *	pepites_tier1_adapter.py	(dump)	w
50 8 * * *	production/pepites/moteur_pepite_6_H_shannon.py	(dump)	w
51 8 * * *	production/pepites/moteur_pepite_7_H_dd_ath.py	(dump)	w
52 8 * * *	production/pepites/moteur_pepite_8_M_V_H_calme.py	(dump)	w
53 8 * * *	production/pepites/moteur_pepite_9_M_V_G_extreme.py	(dump)	w
54 8 * * *	production/pepites/moteur_pepite_10_S_xtbas_10j.py	(dump)	w
55 8 * * *	production/pepites/moteur_pepite_11_m2_crise_dd.py	(dump)	w
56 8 * * *	production/pepites/moteur_pepite_12_m2_tension_Gbas.py	(dump)	w
57 8 * * *	production/pepites/moteur_pepite_13_m2_tension_fg.py	(dump)	w
58 8 * * *	production/pepites/moteur_pepite_14_m4_crise_Gbas.py	(dump)	w
59 8 * * *	production/pepites/moteur_pepite_15_m4_crise_Hbas.py	(dump)	w
00 9 * * *	production/pepites/moteur_pepite_16_m4_crise_Sbas.py	(dump)	w
01 9 * * *	production/pepites/moteur_pepite_17_m5_ouvrir_dd.py	(dump)	w
02 9 * * *	production/pepites/moteur_pepite_18_m6_ouvrir_Mmilieu.py	(dump)	w
03 9 * * *	production/pepites/moteur_pepite_19_m7_tension_Ghaut.py	(dump)	w
16 8 * * *	normalise_states_compat.py	(no_explicit_write)	-
58 8 * * *	normalise_states_compat.py	(no_explicit_write)	-
*/5 * * * *	seragone_demo_health.py	(no_explicit_write)	-
